sensor,post-decision,normalizado,milisegundos,decision,ultima_modificacion,raw_minimo,raw_maximo,raw_cuartil1,raw_cuartil2,raw_cuartil3,alpha_minimo,alpha_maximo,alpha_cuartil1,alpha_cuartil2,alpha_cuartil3,beta_minimo,beta_maximo,beta_cuartil1,beta_cuartil2,beta_cuartil3,delta_minimo,delta_maximo,delta_cuartil1,delta_cuartil2,delta_cuartil3,theta_minimo,theta_maximo,theta_cuartil1,theta_cuartil2,theta_cuartil3,gamma_minimo,gamma_maximo,gamma_cuartil1,gamma_cuartil2,gamma_cuartil3
TP10,True,False,0,q,2023-05-24 22:13:32,0.0,1464652.0,157.14285,788.1319,829.6337,-4.010078,3.026766,0.0,0.12975368,0.6620129,-3.7600257,2.6293705,0.0,0.17300573,0.60007685,-4.7293224,4.1095366,0.0,0.0,0.60538006,-4.2351832,3.137451,0.0,0.0,0.44584927,-3.7023327,2.0412056,0.0,0.0,0.35770682
AF7,False,True,7000,p,2023-05-24 22:13:32,-1.0,1.0,-0.9984003294644364,-0.9983747940080648,-0.9983517298007288,-1.0,1.0,-0.5368193991673054,-0.4375966571688748,-0.3340288428404211,-1.0,1.0,-0.998170357037678,-0.997574502250162,-0.9968182597187752,-1.0,1.0,-0.4958974540121756,-0.3589686541678086,-0.2165559294731205,-1.0,1.0,-0.9891381556056528,-0.9869260104849727,-0.9840640962871154,-1.0,1.0,-0.3811803900690463,-0.2165466345754542,0.0275956006976065
AF7,False,True,7000,q,2023-05-24 22:13:32,-1.0,1.0,-0.9986426574197248,-0.998620279751228,-0.9986006993693926,-1.0,1.0,-0.523170711160832,-0.4174874864815041,-0.3034299835101416,-1.0,1.0,-0.997902205441034,-0.997330504144945,-0.996579190364164,-1.0,1.0,-0.5480625131520263,-0.3915421047070949,-0.2280991833792899,-1.0,1.0,-0.3341398691981189,-0.2189324648539273,-0.073482707257553,-1.0,1.0,-0.2849512083168074,-0.124155791752175,0.1047069664948563
AF7,True,True,0,p,2023-05-24 22:13:32,-1.0,1.0,-0.9986391609372248,-0.9986195804339016,-0.9986,-1.0,1.0,-0.3794027434643101,-0.2909881872556777,-0.1944059236818848,-1.0,1.0,-0.9979222863940578,-0.9973577059961316,-0.9965556843382608,-1.0,1.0,-0.6062605502871761,-0.4835926589304122,-0.3137925343812326,-1.0,1.0,-0.5275742656804294,-0.4240603883451278,-0.2726432694879416,-1.0,1.0,-0.3449975463434769,-0.1735778369084751,0.0533736395816089
AF7,True,True,0,q,2023-05-24 22:13:32,-1.0,1.0,-0.9982577457913846,-0.9982290076516228,-0.9982029636274888,-1.0,1.0,-0.5677655612583408,-0.4474444383224857,-0.3135473843905031,-1.0,1.0,-0.3944228251314392,-0.2152997616261907,0.0108909223664699,-1.0,1.0,-0.5348657293350271,-0.4138905819878483,-0.2151412223238102,-1.0,1.0,-0.4587502110834882,-0.3406574993080876,-0.1427806348549528,-1.0,1.0,-0.3516849886611757,-0.1886946630202062,0.0579196028667894
AF8,False,True,7000,p,2023-05-24 22:13:32,-1.0,1.0,-0.9988237420942986,-0.9988116902834462,-0.9987996383828626,-1.0,1.0,-0.5566044832794703,-0.4484925535285132,-0.3303224788792624,-1.0,1.0,-0.9960982577084744,-0.9946279540969216,-0.9930968917767424,-1.0,1.0,-0.5690358006297425,-0.4232364092956212,-0.2847571635480532,-1.0,1.0,-0.4826516509293476,-0.3681197328111604,-0.2148046413467114,-1.0,1.0,-0.490867015972246,-0.2773823508076708,-0.0885175449627093
AF8,False,True,7000,q,2023-05-24 22:13:32,-1.0,1.0,-0.9986680313872526,-0.9986543841813936,-0.9986414192850228,-1.0,1.0,-0.4929595088181685,-0.3780089820480659,-0.2505559505334522,-1.0,1.0,-0.9966493163996264,-0.995132092420066,-0.993502267414994,-1.0,1.0,-0.5095920682661131,-0.3458265217580718,-0.1944868873319694,-1.0,1.0,-0.3754483659100173,-0.2450380446169742,-0.0788333295791984,-1.0,1.0,-0.4083271565826191,-0.1639910987643155,0.0592177817518593
AF8,True,True,0,p,2023-05-24 22:13:32,-1.0,1.0,-0.9983622640841884,-0.9983463312483284,-0.998331236882004,-1.0,1.0,-0.6038678479191124,-0.4991975993955254,-0.3783832373490414,-1.0,1.0,-0.6011955851843974,-0.3601911383050213,-0.1248048076770466,-1.0,1.0,-0.5461096186529175,-0.4170612416643736,-0.2354566578331249,-1.0,1.0,-0.5251751997269516,-0.3936401378541586,-0.2052375368602687,-1.0,1.0,-0.4522358372452338,-0.1970700575927254,0.0280527065730658
AF8,True,True,0,q,2023-05-24 22:13:32,-1.0,1.0,-0.9982367827203552,-0.9982187076377868,-0.9982024400993624,-1.0,1.0,-0.5767674571144412,-0.4577383311922818,-0.3170973633743852,-1.0,1.0,-0.6232041504655423,-0.4064708318690794,-0.175283370675057,-1.0,1.0,-0.6068877271205844,-0.4838786114765866,-0.3039337397042672,-1.0,1.0,-0.5602146925763654,-0.4470467069908934,-0.2572597521258397,-1.0,1.0,-0.3571165290222831,-0.0866041910420817,0.1299791160698358
TP9,False,True,7000,p,2023-05-24 22:13:32,-1.0,1.0,-0.9998568636945872,-0.999055691250651,-0.9989941377196976,-1.0,1.0,0.0148737303090566,0.0148737303090566,0.1930521952464665,-1.0,1.0,0.1246395020073751,0.1246395020073751,0.3030495131590993,-1.0,1.0,-0.0691750766120516,-0.0691750766120516,0.0942603607400822,-1.0,1.0,0.0275718549684771,0.0275718549684771,0.1597176078362316,-1.0,1.0,0.2603401138256733,0.2603401138256733,0.3253030819143718
